Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Surbiton HC - Pitch 2,11:15,Home,Surbiton W3,Hampstead & Westminster W3,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Surbiton HC - Pitch 2,11:15,Away,Hampstead & Westminster W3,Surbiton W3,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Whitefields School - Pitch 1,12:15,Home,West Hampstead W1,Barnes W2,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Whitefields School - Pitch 1,12:15,Away,Barnes W2,West Hampstead W1,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Battersea Park - Far Pitch,13:30,Home,Wanderers W1,Wimbledon W3,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Battersea Park - Far Pitch,13:30,Away,Wimbledon W3,Wanderers W1,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Alleyns School,13:30,Home,Tulse Hill & Dulwich W1,Surbiton Sparks,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Alleyns School,13:30,Away,Surbiton Sparks,Tulse Hill & Dulwich W1,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Kings House Sports Ground,13:30,Home,London Wayfarers W2,Old Cranleighan W1,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Kings House Sports Ground,13:30,Away,Old Cranleighan W1,London Wayfarers W2,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Southgate Hockey Centre Pitch 1,15:00,Home,Southgate W2,PHC Chiswick W1,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Southgate Hockey Centre Pitch 1,15:00,Away,PHC Chiswick W1,Southgate W2,,,Upcoming
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Dukes Meadow pitch,Completed,Home,Barnes W2,Wimbledon W3,5.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Dukes Meadow pitch,Completed,Away,Wimbledon W3,Barnes W2,0.0,5.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Paddington Recreation Ground,Completed,Home,Hampstead & Westminster W3,PHC Chiswick W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Paddington Recreation Ground,Completed,Away,PHC Chiswick W1,Hampstead & Westminster W3,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,Southgate W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Alleyns School,Completed,Away,Southgate W2,Tulse Hill & Dulwich W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Surbiton HC - Pitch 1,Completed,Home,Surbiton Sparks,Wanderers W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Surbiton HC - Pitch 1,Completed,Away,Wanderers W1,Surbiton Sparks,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,Surbiton W3,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Old Cranleighan Sports Club,Completed,Away,Surbiton W3,Old Cranleighan W1,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Kings House Sports Ground,Completed,Home,London Wayfarers W2,West Hampstead W1,0.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Kings House Sports Ground,Completed,Away,West Hampstead W1,London Wayfarers W2,3.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Raynes Park High School,Completed,Home,Wimbledon W3,Old Cranleighan W1,1.0,5.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Raynes Park High School,Completed,Away,Old Cranleighan W1,Wimbledon W3,5.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,Hampstead & Westminster W3,3.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Whitefields School - Pitch 1,Completed,Away,Hampstead & Westminster W3,West Hampstead W1,0.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Battersea Park - Far Pitch,Completed,Home,Wanderers W1,Tulse Hill & Dulwich W1,3.0,3.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Battersea Park - Far Pitch,Completed,Away,Tulse Hill & Dulwich W1,Wanderers W1,3.0,3.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Surbiton HC - Pitch 2,Completed,Home,Surbiton W3,Surbiton Sparks,1.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Surbiton HC - Pitch 2,Completed,Away,Surbiton Sparks,Surbiton W3,3.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,London Wayfarers W2,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Southgate Hockey Centre Pitch 1,Completed,Away,London Wayfarers W2,Southgate W2,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Latymer Upper School,Completed,Home,PHC Chiswick W1,Barnes W2,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Latymer Upper School,Completed,Away,Barnes W2,PHC Chiswick W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Dukes Meadow pitch,Completed,Home,Barnes W2,Hampstead & Westminster W3,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Dukes Meadow pitch,Completed,Away,Hampstead & Westminster W3,Barnes W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,Surbiton W3,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Alleyns School,Completed,Away,Surbiton W3,Tulse Hill & Dulwich W1,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,West Hampstead W1,2.0,1.0,Win
